[INFO - 2024-01-22 15:47:59,893][__main__] Test
[INFO - 2024-01-22 15:48:01,474][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 15:48:02,277][__main__] Determining which files need processing
[INFO - 2024-01-22 15:48:02,277][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 15:48:02,278][__main__] Attempting retreival of download url data for "The Office - s05e26 - Casual Friday.mp4"
[INFO - 2024-01-22 15:48:24,698][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 15:48:25,525][__main__] Determining which files need processing
[INFO - 2024-01-22 15:48:25,526][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 15:48:25,526][__main__] Attempting retreival of download url data for "The Office - s05e26 - Casual Friday.mp4"
[INFO - 2024-01-22 15:48:26,026][__main__] Generating download url for "The Office - s05e26 - Casual Friday.mp4" with Playon Api data
[INFO - 2024-01-22 15:48:26,026][__main__] Attempting retreival of download url data for "The Office - s05e27 - Cafe Disco.mp4"
[INFO - 2024-01-22 15:48:26,829][__main__] Generating download url for "The Office - s05e27 - Cafe Disco.mp4" with Playon Api data
[INFO - 2024-01-22 15:48:26,829][__main__] Attempting Download of "The Office - s05e26 - Casual Friday.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 15:48:30,878][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s05e26 - Casual Friday.mp4" complete.
[INFO - 2024-01-22 15:48:30,878][__main__] Attempting Download of "The Office - s05e27 - Cafe Disco.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 15:48:34,909][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s05e27 - Cafe Disco.mp4" complete.
[INFO - 2024-01-22 15:55:43,264][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 16:25:44,380][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 16:25:45,136][__main__] Determining which files need processing
[INFO - 2024-01-22 16:25:45,136][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 16:25:45,137][__main__] Attempting retreival of download url data for "The Office - s05e28 - Company Picnic.mp4"
[INFO - 2024-01-22 16:25:45,954][__main__] Generating download url for "The Office - s05e28 - Company Picnic.mp4" with Playon Api data
[INFO - 2024-01-22 16:25:45,955][__main__] Attempting retreival of download url data for "The Office - s06e01 - Gossip.mp4"
[INFO - 2024-01-22 16:25:46,515][__main__] Generating download url for "The Office - s06e01 - Gossip.mp4" with Playon Api data
[INFO - 2024-01-22 16:25:46,516][__main__] Attempting Download of "The Office - s05e28 - Company Picnic.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 16:25:54,408][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s05e28 - Company Picnic.mp4" complete.
[INFO - 2024-01-22 16:25:54,408][__main__] Attempting Download of "The Office - s06e01 - Gossip.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 16:26:04,971][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e01 - Gossip.mp4" complete.
[INFO - 2024-01-22 16:33:13,710][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 17:03:14,523][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 17:03:16,207][__main__] Determining which files need processing
[INFO - 2024-01-22 17:03:16,207][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 17:03:16,207][__main__] Attempting retreival of download url data for "The Office - s06e02 - The Meeting.mp4"
[INFO - 2024-01-22 17:03:18,550][__main__] Generating download url for "The Office - s06e02 - The Meeting.mp4" with Playon Api data
[INFO - 2024-01-22 17:03:18,550][__main__] Attempting Download of "The Office - s06e02 - The Meeting.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 17:03:26,471][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e02 - The Meeting.mp4" complete.
[INFO - 2024-01-22 17:06:55,552][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 17:36:56,337][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 17:36:56,787][__main__] Determining which files need processing
[INFO - 2024-01-22 17:36:56,787][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 17:36:56,789][__main__] Attempting retreival of download url data for "The Office - s06e03 - The Promotion.mp4"
[INFO - 2024-01-22 17:36:57,359][__main__] Generating download url for "The Office - s06e03 - The Promotion.mp4" with Playon Api data
[INFO - 2024-01-22 17:36:57,359][__main__] Attempting retreival of download url data for "The Office - s06e04 - Niagara Part 1.mp4"
[INFO - 2024-01-22 17:36:57,983][__main__] Generating download url for "The Office - s06e04 - Niagara Part 1.mp4" with Playon Api data
[INFO - 2024-01-22 17:36:57,983][__main__] Attempting Download of "The Office - s06e03 - The Promotion.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 17:37:04,112][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e03 - The Promotion.mp4" complete.
